"resource_ID","type","title","outcome_IDs","link","notes"
"data_01","dataset","Pearson & Lee (1903) height data",,"pearson_lee_1903.csv","pearson_lee_1903_README.md"
"video_01","video","Publisher Test Bank Canvas Convert",,"https://ualberta-ca.zoom.us/rec/share/EqZ6C-i6RYDzUMSrdfM1zSTqrP-pq4bYvmNJT3gE-jW0yVzGBE5dSwgyB2Y_3Tr6.n_vZJc81Gnekpgh1?startTime=1768863863000","Requires password"
"site_01","website","Teaching Datasets",,"https://github.com/rfortherestofus/teaching-datasets?tab=readme-ov-file",
